model,log_G0,log_nH,CII_158um,OI_63um,OI_145um,OIII_88um,OIII_5007,Hbeta,Halpha,SII_6717,SII_6731,CII_FIR_ratio,H2_fraction
G1.00_n1.00,1.0,1.0,,,,,,,,,,,
G1.00_n1.25,1.0,1.25,,,,,,,,,,,
G1.00_n1.50,1.0,1.5,,,,,,,,,,,
G1.00_n1.75,1.0,1.75,,,,,,,,,,,
G1.00_n2.00,1.0,2.0,,,,,,,,,,,
G1.00_n2.25,1.0,2.25,,,,,,,,,,,
G1.00_n2.50,1.0,2.5,,,,,,,,,,,
G1.00_n2.75,1.0,2.75,,,,,,,,,,,
G1.00_n3.00,1.0,3.0,,,,,,,,,,,
G1.00_n3.25,1.0,3.25,,,,,,,,,,,
G1.00_n3.50,1.0,3.5,,,,,,,,,,,
G1.00_n3.75,1.0,3.75,,,,,,,,,,,
G1.00_n4.00,1.0,4.0,,,,,,,,,,,
G1.25_n1.00,1.25,1.0,,,,,,,,,,,
G1.25_n1.25,1.25,1.25,,,,,,,,,,,
G1.25_n1.50,1.25,1.5,,,,,,,,,,,
G1.25_n1.75,1.25,1.75,,,,,,,,,,,
G1.25_n2.00,1.25,2.0,,,,,,,,,,,
G1.25_n2.25,1.25,2.25,,,,,,,,,,,
G1.25_n2.50,1.25,2.5,,,,,,,,,,,
G1.25_n2.75,1.25,2.75,,,,,,,,,,,
G1.25_n3.00,1.25,3.0,,,,,,,,,,,
G1.25_n3.25,1.25,3.25,,,,,,,,,,,
G1.25_n3.50,1.25,3.5,,,,,,,,,,,
G1.25_n3.75,1.25,3.75,,,,,,,,,,,
G1.25_n4.00,1.25,4.0,,,,,,,,,,,
G1.50_n1.00,1.5,1.0,,,,,,,,,,,
G1.50_n1.25,1.5,1.25,,,,,,,,,,,
G1.50_n1.50,1.5,1.5,,,,,,,,,,,
G1.50_n1.75,1.5,1.75,,,,,,,,,,,
G1.50_n2.00,1.5,2.0,,,,,,,,,,,
G1.50_n2.25,1.5,2.25,,,,,,,,,,,
G1.50_n2.50,1.5,2.5,,,,,,,,,,,
G1.50_n2.75,1.5,2.75,,,,,,,,,,,
G1.50_n3.00,1.5,3.0,,,,,,,,,,,
G1.50_n3.25,1.5,3.25,,,,,,,,,,,
G1.50_n3.50,1.5,3.5,,,,,,,,,,,
G1.50_n3.75,1.5,3.75,,,,,,,,,,,
G1.50_n4.00,1.5,4.0,,,,,,,,,,,
G1.75_n1.00,1.75,1.0,,,,,,,,,,,
G1.75_n1.25,1.75,1.25,,,,,,,,,,,
G1.75_n1.50,1.75,1.5,,,,,,,,,,,
G1.75_n1.75,1.75,1.75,,,,,,,,,,,
G1.75_n2.00,1.75,2.0,,,,,,,,,,,
G1.75_n2.25,1.75,2.25,,,,,,,,,,,
G1.75_n2.50,1.75,2.5,,,,,,,,,,,
G1.75_n2.75,1.75,2.75,,,,,,,,,,,
